username,date,tweet,sentiment,lat,lon,location
chicohakim,"Mar,17","â€¢Infrastruktur langit (satelit)
â€¢Unicorn bahkan sebentar lagi ada Decacorn. 
â€¢Pencegahan stunting itu bukan hanya sejak kehamilan ibu, bahkan dari sebelum menikah melalui penyuluhan. 

Mantap #WapreskuKyai ????",pos,-0.789275,113.921,Indonesia
h3ru_h,"Mar,17","Program percepatan pencegahan stunting memang berada di bawah koordinasi Sekretariat Wakil Presiden.

Siapa pun yg jadi wapres nanti, dia harus menguasai soal ini.

Dan objektif, pak Maâ€™ruf lebih menguasai topik ini.",pos,0.0,0.0,
RestyManangin24,"Mar,14",Pendampingan untuk Pencegahan Stunting #MendesDiBengkulu #JokowimembangunDesa #TPPISulut @jokowi @EkoSandjojo @anwsanusi @taufikmadjid71 @fachrilabalado @murphy_kuhu pic.twitter.com/IhQyWkx4Mt,pos,0.7243729999999999,124.32,Kotamobagu Kota Kotamobagu Sulawesi Utara Indonesia
IslandBeby,"Mar,14","Saat ini Peningkatan gizi dan pencegahan stunting juga menjadi fokus  utama dari Pemerintahan Jokowi dalam memastikan generasi masa depan yang  unggul dan berdaya saing.
  #SemangatMaju01Yuk",pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
JatimPemprov,"Mar,13","Ketua TP PKK Prov. Jatim Arumi Bachsin membuka Workshop Peran Pemberdayaan Lansia, Penanganan & Pencegahan Stunting serta Sosialisasi Peningkatan Pemahaman Pancasila bg TP PKK kab/ko se Jatim yg dilaksanakan di Kantor Bappeda Prov. Jatim, Jl. Pahlawan Sby, Rabu (13/3). pic.twitter.com/9rNPHE4LQO",pos,-7.536060000000001,112.238,Jawa Timur Indonesia
KemenkesRI,"Feb,28","Hai #Healthies! 
Pencegahan stunting harus dimulai dari masa remaja. Apabila remaja putri mendapatkan gizi yang baik, maka ia akan menjadi ibu yang bisa melahirkan anak-anak yang sehat ????

Salam sehat!

#AyoCegahStunting
#PemerintahBekerja pic.twitter.com/LO6jAIytcq",pos,-6.20876,106.846,Jakarta Daerah Khusus Ibukota Jakarta Indonesia
klikdoktercom,"Apr,30",Kecukupan nutrisi makro dan mikro penting untuk diperhatikan demi kesehatan ibu hamil dan pencegahan stunting pada anak. klikdokter.com/rubrik/read/36â€¦,pos,-0.789275,113.921,Indonesia
pemkab_bjn,"Apr,29",Upaya Peningkatan Kualitas Layanan Posyandu sebagai Upaya Pencegahan Stunting yang dikemas dalam kegiatan Gebyar Posyandu di Desa Ngujo Kec. Kalitidu (29/4) pic.twitter.com/Cc2f9wyqzw,pos,-7.15028,111.881,1 Jalan Mas Tumapel Ledok Wetan Kecamatan Bojonegoro Kabupaten Bojonegoro Jawa Timur Indonesia 62112
GerakanEmas2030,"Apr,28","Edukasi pola hidup & pola gizi sehat untuk remaja perempuan seharusnya menjadi prioritas kita semua dalam upaya pencegahan stunting. 

Mari bergabung & bergerak bersama #GerakanEmas 2030  untuk pemberian nutrisi dan edukasi pencegahan stunting demi terwujudkan Generasi Emas 2030.",pos,-0.789275,113.921,Indonesia
GerakanEmas2030,"Apr,22","...meningkatkan intensitas kegiatan pencegahan stunting, baik melalui upaya legislasi maupun kolaborasi dengan berbagai komponen masyarakat. Mari bergabung dengan @GerakanEmas 2030 untuk mencegah stunting dan mewujudkan generasi emas 2030.",pos,-0.789275,113.921,Indonesia
